people ANAKIN
people DARTH+VADER
people LUKE
people OBI-WAN
people CHEWBACCA
people HAN
people LEIA
people amidala
people QUI-GON
people PALPATINE
people YODA
people JAR+JAR
people LANDO
people WEDGE
people BAIL+ORGANA
people PANAKA
people MACE+WINDU
people NUTE+GUNRAY
people BIGGS
people GRIEVOUS
people TARKIN
people SHMI
people BOBA+FETT
people OWEN
people ACKBAR
people WATTO
people LAMA+SU
people DOOKU
people JABBA
people TAUN+WE
people TYPHO
people DARTH+MAUL
people JANGO+FETT
people NASS
people KI-ADI-MUNDI
people MON+MOTHMA
people BERU
people SEBULBA
people VALORUM
people TARPALS
people GREEDO
people CLIEGG
people shaak
people POGGLE
people SUN
people PLO+KOON
people TION+MEDON
people ON+MEDON
people ANTILLES
people BIB+FORTUNA
people R2-D2
people C3PO
planets tatooine
planets alderaan
planets yavin
planets hoth
planets dagobah
planets bespin
planets endor
planets naboo
planets coruscant
planets kamino
planets geonosis
planets utapau
planets mustafar
planets kashyyyk
planets polis
planets mygeeto
planets felucia
planets cato
planets saleucami
planets stewjon
planets eriadu
planets corellia
planets rodia
planets nal
planets dantooine
planets bestine
planets ord
planets trandosha
planets socorro
planets MON
planets chandrila
planets sullust
planets toydaria
planets malastare
planets dathomir
planets ryloth
planets aleen
planets vulpter
planets troiken
planets tund
planets haruun
planets cerea
planets glee
planets iridonia
planets tholoth
planets iktotch
planets quermia
planets dorin
planets champala
planets mirial
planets serenno
planets concord
planets zolan
planets ojom
planets shako
planets muunilinst
planets shili
planets kalee
planets umbara
species human
species droid
species wookie
species rodian
species hutt
species YODA
species trandoshan
species MON
species ewok
species sullustan
species naimodian
species gungan
species toydarian
species dug
species twi
species aleena
species vulptereen
species xexto
species toong
species cerean
species nautolan
species zabrak
species tholothian
species iktotchi
species quermian
species kel
species chagrian
species geonosian
species mirialan
species clawdite
species besalisk
species kaminoan
species skakoan
species muun
species togruta
species kaleesh
species pau
